City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Bucerias,MX,77.0,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
366,Rio Branco,BR,77.0,few clouds,-9.9747,-67.81,João Paulo Hotel
374,Khunti,IN,81.3,clear sky,23.0833,85.2833,SHAKTI LODGE
375,Kalmunai,LK,80.55,broken clouds,7.4167,81.8167,VS Villa
376,Bandarbeyla,SO,76.37,overcast clouds,9.4942,50.8122,JABIR HOTEL
377,Majalgaon,IN,83.3,few clouds,19.15,76.2333,इंद्रायणी ढाबा
380,Kerema,PG,85.21,scattered clouds,-7.9631,145.7785,Frena Lodge
383,Rawson,AR,76.68,few clouds,-43.3002,-65.1023,Hosteria Sampedro
387,Shenzhen,CN,75.99,overcast clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
391,Sambalpur,IN,78.19,clear sky,21.45,83.9667,Hotel Saket
392,Tsabong,BW,75.45,clear sky,-26.0217,22.401,Springbok Motel
393,Port Macquarie,AU,77.0,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
394,Honiara,SB,85.19,scattered clouds,-9.4333,159.95,Heritage Park Hotel
397,Denpasar,ID,84.2,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
401,Kavieng,PG,82.62,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
403,Praxedis Guerrero,MX,82.4,few clouds,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
414,Tezu,IN,82.4,overcast clouds,27.9167,96.1667,Circuit House
417,Gladstone,AU,78.8,light rain,-23.85,151.25,Highpoint International
418,Otane,NZ,79.0,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
422,Padang,ID,78.8,light rain,-0.9492,100.3543,Mercure Padang
426,Ndjole,GA,75.69,broken clouds,-0.1783,10.7649,Hotel Kevazingo
434,Vao,NC,76.37,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
435,Gummidipundi,IN,82.4,mist,13.4,80.15,Le Raj Courtyard
444,Merauke,ID,84.76,broken clouds,-8.4667,140.3333,PC
445,Tautira,PF,86.0,few clouds,-17.7333,-149.15,Pension Oaoa
448,Meulaboh,ID,79.7,overcast clouds,4.1363,96.1285,Kost Pria
450,Sotuta,MX,75.94,overcast clouds,20.6,-89.0167,"Posada ""Las Palmas"""
451,Jardim,BR,83.53,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
452,Panalingaan,PH,85.86,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
453,Sakete,BJ,78.67,scattered clouds,6.7362,2.6587,IBUKUN OLUWA
454,Taoudenni,ML,81.07,overcast clouds,22.6783,-3.9836,
456,Tual,ID,83.8,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
457,Remanso,BR,79.21,scattered clouds,-9.6179,-42.0831,Hotel Mangueira
460,Deming,US,82.4,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
461,Sotouboua,TG,82.4,scattered clouds,8.5667,0.9833,Hôtel La Planète
466,Calvillo,MX,75.2,overcast clouds,21.85,-102.7167,Hotel La Gloria de Calvillo
470,Vanimo,PG,87.89,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
471,Marawi,PH,82.0,overcast clouds,7.9986,124.2928,Derogongan Residence
472,Sinnamary,GF,76.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
477,Port-Gentil,GA,82.4,light rain,-0.7193,8.7815,Fengshui Residence
480,Motiong,PH,88.23,broken clouds,11.78,124.9997,Orale's Boarding House
483,Dong Hoi,VN,78.58,few clouds,17.4833,106.6,Nam Long Hotel
486,Kailua,US,80.6,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
492,Igbo Ora,NG,78.24,broken clouds,7.4333,3.2833,Pinkbell Inn
494,Srivardhan,IN,77.41,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
496,Toumodi,CI,77.0,overcast clouds,6.5613,-5.0158,Hotel Akanza
499,Mackay,AU,75.2,overcast clouds,-21.15,149.2,International Lodge Motel
500,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
505,Isangel,VU,84.2,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
508,Turbat,PK,77.02,clear sky,26.0023,63.044,Mubashar Quarters
510,Luanda,AO,78.8,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
517,La Orilla,MX,76.08,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
519,Kampong Chhnang,KH,85.78,broken clouds,12.1667,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
520,San Cristobal,VE,78.8,broken clouds,7.7669,-72.225,Posada Villaven C.A.
524,Vila Velha,BR,77.0,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
528,Ambunti,PG,86.52,overcast clouds,-4.2365,142.8448,Ambunti Lodge
532,Nizwa,OM,76.75,overcast clouds,22.9333,57.5333,Orient Apartments
533,Pontianak,ID,78.8,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
535,Ahome,MX,82.4,clear sky,25.9167,-109.1833,Rancho El Sauce y la Palma
536,Nueva Gerona,CU,75.51,overcast clouds,21.8833,-82.8,Villa Gerona
537,San Lorenzo,PY,80.6,few clouds,-25.3333,-57.5333,Hotel del Sur
542,Muli,MV,83.97,few clouds,2.9167,73.5667,Medhufushi Island Resort
548,Sa Kaeo,TH,84.92,overcast clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
551,Poya,NC,82.18,broken clouds,-21.35,165.15,
558,Kwale,NG,77.56,few clouds,5.7063,6.4374,Benvo Twin Hotel 1
559,Viedma,AR,75.58,clear sky,-40.8135,-62.9967,Hotel Cristal
560,Banda Aceh,ID,80.73,overcast clouds,5.5577,95.3222,Sulthan Hotel International
564,Nicoya,CR,82.4,clear sky,10.1483,-85.45200000000001,Guayacan Real
565,Matara,LK,79.2,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
566,Cururupu,BR,75.25,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
567,Fayaoue,NC,78.94,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
569,Toamasina,MG,75.2,few clouds,-18.1667,49.3833,Hotel H1
573,Anloga,GH,82.4,few clouds,5.7947,0.8973,Pin Drop Hotel
574,Farias Brito,BR,77.0,broken clouds,-6.9306,-39.5656,Pousada Boa Vista
582,Pangkalanbuun,ID,87.44,light rain,-2.6833,111.6167,Grand Kecubung Hotel
588,Amahai,ID,87.13,broken clouds,-3.3333,128.9167,HOTEL ISABELA
592,Kita,ML,83.46,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
597,Bouna,CI,81.37,broken clouds,9.2667,-3.0,Hotel Reserve
598,Luganville,VU,82.24,few clouds,-15.5333,167.1667,The Espiritu Hotel
599,Kaohsiung,TW,75.2,overcast clouds,22.6163,120.3133,Kindness Hotel
603,Pemba,MZ,75.2,light rain,-12.974,40.5178,Guesthouse Samotina
609,Maine-Soroa,NE,75.63,clear sky,13.2114,12.0241,Complexe
619,Waingapu,ID,77.2,light rain,-9.6567,120.2641,Pondok Wisata Elim
622,Belmonte,BR,75.2,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
623,Sai Buri,TH,80.6,few clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
625,Ewa Beach,US,80.6,clear sky,21.3156,-158.0072,Uncle Junior Robert
626,Japura,ID,83.48,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
628,Randudongkal,ID,80.2,overcast clouds,-7.0981,109.3243,M N D P
629,Butterworth,MY,84.99,few clouds,5.3991,100.3638,Cititel Penang
