City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Durazno,15.7432,-96.4661,87.01,65,1,4.63,MX,2021-04-03 15:28:14
70,Durazno,-5.1989,-35.4608,80.6,83,75,11.5,BR,2021-04-03 15:26:40
71,Durazno,-16.2567,-56.6228,96.22,37,79,1.3,BR,2021-04-03 15:28:15
72,Durazno,59.7035,30.7861,39.2,70,75,13.42,RU,2021-04-03 15:28:15
73,Durazno,64.8569,-147.8028,16.0,79,90,2.42,US,2021-04-03 15:28:15
74,Durazno,45.5234,-122.6762,46.0,81,75,3.44,US,2021-04-03 15:27:01
75,Durazno,21.4267,39.8261,84.07,25,11,14.92,SA,2021-04-03 15:28:16
76,Durazno,57.0531,-135.33,33.8,86,75,4.61,US,2021-04-03 15:28:17
77,Durazno,22.3797,110.9389,79.81,69,8,2.37,CN,2021-04-03 15:28:17
78,Durazno,-34.4187,19.2345,73.0,56,5,3.0,ZA,2021-04-03 15:28:18
79,Durazno,56.2589,83.9714,37.0,66,100,4.0,RU,2021-04-03 15:28:18
80,Durazno,55.7435,-97.8558,28.4,64,40,12.66,CA,2021-04-03 15:28:18
81,Durazno,51.6,7.7667,53.01,40,0,2.3,DE,2021-04-03 15:28:19
82,Durazno,-20.7377,116.8463,83.98,55,19,3.87,AU,2021-04-03 15:28:19
83,Durazno,-11.0964,-77.6139,72.93,75,70,7.49,PE,2021-04-03 15:28:20
84,Durazno,-16.9833,-65.1333,77.4,73,100,0.76,BO,2021-04-03 15:28:20
85,Durazno,47.1821,8.4636,48.2,49,20,9.22,CH,2021-04-03 15:28:21
86,Durazno,71.6872,128.8694,-12.66,100,100,6.51,RU,2021-04-03 15:26:26
87,Durazno,-46.6,168.3333,57.99,59,69,17.0,NZ,2021-04-03 15:25:57
88,Durazno,68.7098,-52.8699,-2.85,89,77,6.24,GL,2021-04-03 15:28:22
89,Durazno,-37.6167,-73.65,60.13,69,13,11.81,CL,2021-04-03 15:26:21
90,Durazno,5.3505,48.5268,84.06,68,8,13.22,SO,2021-04-03 15:24:54
91,Durazno,-16.1889,-67.7271,53.6,54,75,11.5,BO,2021-04-03 15:28:22
92,Durazno,26.1247,127.6694,73.4,88,75,3.44,JP,2021-04-03 15:28:23
93,Durazno,-35.1,173.7833,61.0,95,45,1.01,NZ,2021-04-03 15:28:23
94,Durazno,-8.7597,-35.1047,85.21,61,24,8.93,BR,2021-04-03 15:26:49
95,Durazno,61.4681,128.9203,-14.49,100,87,3.22,RU,2021-04-03 15:28:24
96,Durazno,67.3134,14.4493,41.0,87,75,25.32,NO,2021-04-03 15:28:24
97,Durazno,63.05,179.3167,0.39,88,100,16.46,RU,2021-04-03 15:28:25
98,Durazno,6.0367,80.217,80.94,81,52,9.71,LK,2021-04-03 15:28:25
99,Durazno,54.1169,-112.4686,33.8,80,88,4.03,CA,2021-04-03 15:28:26
100,Durazno,-29.4667,149.85,59.0,77,11,8.05,AU,2021-04-03 15:28:26
101,Durazno,-14.97,22.6814,84.67,35,5,8.01,ZM,2021-04-03 15:28:27
102,Durazno,-34.5322,20.0403,77.0,41,24,6.91,ZA,2021-04-03 15:25:29
103,Durazno,-38.0023,-57.5575,73.4,68,40,10.36,AR,2021-04-03 15:24:56
104,Durazno,51.3223,42.7678,39.99,90,100,11.63,RU,2021-04-03 15:28:28
105,Durazno,10.9995,122.6711,75.7,83,96,6.24,PH,2021-04-03 15:26:36
106,Durazno,28.8947,64.4101,86.22,10,0,6.04,PK,2021-04-03 15:28:28
107,Durazno,-24.7081,-47.5553,76.75,73,53,8.57,BR,2021-04-03 15:28:29
108,Durazno,-2.5744,150.7967,81.34,80,51,7.23,PG,2021-04-03 15:28:29
109,Durazno,57.79,-152.4072,42.8,61,75,10.36,US,2021-04-03 15:26:02
110,Durazno,4.6482,22.2633,82.81,61,98,4.16,CF,2021-04-03 15:28:30
111,Durazno,39.05,-27.9833,59.88,88,95,31.45,PT,2021-04-03 15:28:30
112,Durazno,-16.7,-151.0167,81.54,73,90,9.08,PF,2021-04-03 15:28:31
113,Durazno,66.1451,-65.7125,-9.4,59,1,10.36,CA,2021-04-03 15:28:31
114,Durazno,-35.7167,150.1833,62.01,96,0,1.99,AU,2021-04-03 15:28:31
115,Durazno,73.5069,80.5464,-18.29,84,14,5.7,RU,2021-04-03 15:28:32
116,Durazno,46.6166,10.7002,64.4,39,20,10.36,IT,2021-04-03 15:28:32
117,Durazno,-12.0432,-77.0282,75.99,73,0,4.61,PE,2021-04-03 15:27:09
118,Durazno,-12.7336,45.2042,86.0,70,20,3.44,YT,2021-04-03 15:28:33
119,Durazno,-16.4833,-151.75,81.52,73,88,6.26,PF,2021-04-03 15:28:33
120,Durazno,12.25,109.1833,80.6,89,20,6.91,VN,2021-04-03 15:28:34
121,Durazno,-19.55,169.2667,79.0,85,100,12.44,VU,2021-04-03 15:25:09
122,Durazno,42.8,93.45,56.05,10,100,3.69,CN,2021-04-03 15:28:34
123,Durazno,30.4091,-89.0436,62.01,36,1,12.66,US,2021-04-03 15:28:35
124,Durazno,-28.65,153.6167,69.8,88,90,3.44,AU,2021-04-03 15:27:36
125,Durazno,42.097,-79.2353,43.0,41,1,11.5,US,2021-04-03 15:27:21
126,Durazno,46.4856,135.8833,22.87,59,8,9.24,RU,2021-04-03 15:28:35
127,Durazno,50.5167,115.1333,36.59,45,57,8.28,RU,2021-04-03 15:28:36
128,Durazno,57.9883,33.9036,36.82,80,100,2.93,RU,2021-04-03 15:28:37
129,Durazno,35.4846,51.0829,64.4,16,20,36.82,IR,2021-04-03 15:28:37
130,Durazno,72.7868,-56.1549,-11.7,88,26,4.18,GL,2021-04-03 15:26:05
131,Durazno,25.5333,-103.25,71.6,43,40,11.5,MX,2021-04-03 15:28:38
132,Durazno,12.524,-70.027,84.2,70,75,25.32,AW,2021-04-03 15:28:38
133,Durazno,20.15,92.9,80.26,84,33,8.43,MM,2021-04-03 15:26:09
134,Durazno,-29.9533,-71.3436,62.6,77,20,3.44,CL,2021-04-03 15:23:56
135,Durazno,32.973,117.1995,45.54,79,100,10.0,CN,2021-04-03 15:28:39
136,Durazno,-33.0153,27.9116,68.0,64,0,12.66,ZA,2021-04-03 15:27:35
137,Durazno,54.4299,31.8996,40.01,70,100,5.28,RU,2021-04-03 15:28:40
138,Durazno,4.6374,103.4368,80.01,100,100,4.09,MY,2021-04-03 15:28:41
139,Durazno,69.7008,170.3133,-25.67,98,39,2.62,RU,2021-04-03 15:26:10
140,Durazno,-21.3585,55.7679,82.4,78,20,3.44,RE,2021-04-03 15:25:22
141,Durazno,2.0371,45.3438,82.94,77,71,15.39,SO,2021-04-03 15:24:31
142,Durazno,19.1194,-98.1708,53.6,58,1,6.91,MX,2021-04-03 15:28:42
143,Durazno,19.1059,37.3321,78.69,50,32,16.91,SD,2021-04-03 15:28:42
144,Durazno,-38.2667,141.9667,60.67,90,0,2.26,AU,2021-04-03 15:28:43
145,Durazno,23.75,78.85,86.0,7,0,2.37,IN,2021-04-03 15:28:43
146,Durazno,62.456,-114.3525,-6.0,77,20,6.91,CA,2021-04-03 15:27:36
147,Durazno,-6.1219,141.2906,73.29,98,100,4.38,PG,2021-04-03 15:28:44
148,Durazno,9.2333,29.8333,103.35,10,39,8.39,SS,2021-04-03 15:28:44
149,Durazno,-46.1333,167.6833,57.99,59,12,17.0,NZ,2021-04-03 15:28:44
150,Durazno,-3.8004,102.2655,76.66,87,99,14.45,ID,2021-04-03 15:28:45
151,Durazno,-34.6132,-58.3772,75.0,78,0,5.75,AR,2021-04-03 15:28:45
152,Durazno,22.8909,-109.9124,81.0,43,40,6.55,MX,2021-04-03 15:26:33
153,Durazno,-46.2817,169.8464,50.72,59,99,10.94,NZ,2021-04-03 15:24:58
154,Durazno,35.7333,140.8333,59.0,82,0,5.75,JP,2021-04-03 15:28:46
155,Durazno,-17.7333,-149.15,77.0,78,20,4.61,PF,2021-04-03 15:25:49
156,Durazno,70.4692,-68.5914,-16.6,76,20,2.3,CA,2021-04-03 15:28:47
157,Durazno,61.9449,76.6625,32.63,97,100,6.31,RU,2021-04-03 15:28:47
158,Durazno,71.2906,-156.7887,-25.6,75,20,4.61,US,2021-04-03 15:28:48
159,Durazno,55.8652,-4.2576,59.0,51,36,2.3,GB,2021-04-03 15:28:48
160,Durazno,17.9583,-102.2,83.01,51,9,2.46,MX,2021-04-03 15:28:49
161,Durazno,70.6333,147.9167,-24.38,100,63,4.45,RU,2021-04-03 15:28:49
162,Durazno,60.7522,-137.5108,-4.0,77,100,2.37,CA,2021-04-03 15:28:49
163,Durazno,-37.8333,140.7667,51.8,76,0,2.21,AU,2021-04-03 15:28:50
164,Durazno,59.3833,143.3,23.86,70,100,14.16,RU,2021-04-03 15:27:29
165,Durazno,22.6667,106.25,76.26,91,69,2.93,VN,2021-04-03 15:28:51
166,Durazno,-9.0153,-42.6994,93.65,34,19,7.58,BR,2021-04-03 15:28:51
167,Durazno,27.181,31.1837,69.8,30,0,12.66,EG,2021-04-03 15:28:51
168,Durazno,-34.7333,135.8667,68.29,59,0,3.24,AU,2021-04-03 15:25:04
169,Durazno,56.8479,124.9104,-9.87,99,51,2.64,RU,2021-04-03 15:28:52
170,Durazno,69.4865,88.3972,-11.18,73,0,6.26,RU,2021-04-03 15:28:52
171,Durazno,65.5833,-171.0,2.8,91,100,10.71,RU,2021-04-03 15:28:53
172,Durazno,50.6789,156.125,33.55,89,100,19.13,RU,2021-04-03 15:24:58
173,Durazno,9.5201,-84.3225,77.0,64,75,25.32,CR,2021-04-03 15:28:54
174,Durazno,-0.1303,-67.0892,82.4,78,75,4.61,BR,2021-04-03 15:28:54
175,Durazno,11.5444,-72.9072,83.12,65,100,10.22,CO,2021-04-03 15:28:55
176,Durazno,27.9769,-114.0611,60.78,79,7,10.31,MX,2021-04-03 15:28:55
177,Durazno,16.8634,-99.8901,82.4,47,1,5.75,MX,2021-04-03 15:26:27
178,Durazno,-20.5167,57.5167,80.6,83,75,6.91,MU,2021-04-03 15:28:56
179,Durazno,69.3833,178.4167,-22.38,95,99,5.26,RU,2021-04-03 15:28:56
180,Durazno,4.8845,-1.7554,84.81,70,55,10.89,GH,2021-04-03 15:28:56
181,Durazno,17.4833,106.6,74.95,93,59,1.88,VN,2021-04-03 15:28:57
182,Durazno,-19.0595,-169.9187,69.8,94,94,10.13,NU,2021-04-03 15:25:53
183,Durazno,-28.55,16.4333,69.31,62,0,17.81,NA,2021-04-03 15:28:57
184,Durazno,-5.5502,150.1429,75.85,92,96,3.11,PG,2021-04-03 15:28:58
185,Durazno,17.2833,74.55,81.01,45,72,17.0,IN,2021-04-03 15:28:58
186,Durazno,10.6667,122.95,79.11,78,100,8.88,PH,2021-04-03 15:28:59
187,Durazno,50.1001,-91.917,42.8,45,40,6.91,CA,2021-04-03 15:28:59
188,Durazno,37.6624,-121.8747,51.01,81,1,3.15,US,2021-04-03 15:28:59
189,Durazno,-2.5333,112.95,75.63,95,99,2.98,ID,2021-04-03 15:29:00
190,Durazno,61.2767,108.0108,8.83,97,100,4.38,RU,2021-04-03 15:29:00
191,Durazno,42.5617,-2.356,62.6,39,0,11.5,ES,2021-04-03 15:29:01
192,Durazno,34.6391,-120.4579,50.0,81,63,4.61,US,2021-04-03 15:29:01
193,Durazno,-21.3667,55.6167,82.4,78,20,3.44,RE,2021-04-03 15:25:32
194,Durazno,37.9333,-121.3011,52.0,87,1,5.75,US,2021-04-03 15:29:02
195,Durazno,-20.7394,-46.7522,83.86,46,5,2.39,BR,2021-04-03 15:29:02
196,Durazno,13.35,-15.75,103.62,14,22,3.8,GM,2021-04-03 15:29:02
197,Durazno,33.7333,135.9833,56.55,87,41,4.0,JP,2021-04-03 15:29:03
198,Durazno,-13.7,-76.2167,75.2,73,61,6.91,PE,2021-04-03 15:24:43
199,Durazno,-24.8667,113.6333,80.6,74,40,19.57,AU,2021-04-03 15:29:03
200,Durazno,-24.6895,23.494,88.9,20,2,9.1,BW,2021-04-03 15:29:04
201,Durazno,-38.6533,178.0042,48.99,93,19,1.99,NZ,2021-04-03 15:27:02
202,Durazno,20.785,-156.4656,68.0,100,40,5.75,US,2021-04-03 15:24:28
203,Durazno,50.3828,106.1056,35.85,40,10,4.0,RU,2021-04-03 15:29:05
204,Durazno,71.9167,114.0833,-16.62,99,99,2.28,RU,2021-04-03 15:25:29
205,Durazno,-3.6667,152.4333,79.99,82,63,6.11,PG,2021-04-03 15:29:05
206,Durazno,-26.6481,15.1594,80.29,45,0,23.47,NA,2021-04-03 15:29:06
207,Durazno,14.7328,-6.1219,102.6,3,17,11.03,ML,2021-04-03 15:29:06
208,Durazno,50.6996,-127.4199,42.8,100,90,2.3,CA,2021-04-03 15:29:07
209,Durazno,55.4083,58.6044,35.67,77,98,9.48,RU,2021-04-03 15:29:07
210,Durazno,5.4112,100.3354,86.0,74,20,4.61,MY,2021-04-03 15:27:22
211,Durazno,-43.3002,-65.1023,76.21,41,7,11.79,AR,2021-04-03 15:25:07
212,Durazno,48.7555,-91.6216,42.04,68,32,6.82,CA,2021-04-03 15:29:08
213,Durazno,40.5982,-124.1573,46.99,93,90,5.75,US,2021-04-03 15:25:00
214,Durazno,7.4167,81.8167,80.71,88,35,4.41,LK,2021-04-03 15:29:09
215,Durazno,32.1167,20.0667,72.61,40,1,15.05,LY,2021-04-03 15:29:09
216,Durazno,-0.6,73.0833,83.62,75,51,15.97,MV,2021-04-03 15:29:10
217,Durazno,-4.8828,-66.8958,81.16,86,93,4.27,BR,2021-04-03 15:29:10
218,Durazno,-16.7725,31.5838,77.97,48,8,3.65,ZW,2021-04-03 15:29:11
219,Durazno,20.4167,72.85,80.02,73,8,10.67,IN,2021-04-03 15:29:11
220,Durazno,-0.4536,39.6401,94.6,37,81,16.02,KE,2021-04-03 15:29:12
221,Durazno,28.3667,129.4833,66.16,90,60,7.27,JP,2021-04-03 15:29:12
222,Durazno,0.5167,25.2,91.4,58,20,3.38,CD,2021-04-03 15:29:12
223,Durazno,11.6667,92.75,78.94,75,100,3.67,IN,2021-04-03 15:29:13
224,Durazno,19.8,85.85,84.2,84,75,6.91,IN,2021-04-03 15:29:13
225,Durazno,35.8419,14.5431,69.8,64,0,9.22,MT,2021-04-03 15:29:14
226,Durazno,70.0311,20.9714,39.07,76,100,15.21,NO,2021-04-03 15:29:14
227,Durazno,25.2088,64.6357,81.68,68,0,13.09,PK,2021-04-03 15:25:54
228,Durazno,10.5669,72.642,83.25,61,100,9.6,IN,2021-04-03 15:29:15
229,Durazno,53.9833,123.9167,19.22,92,100,2.42,RU,2021-04-03 15:29:15
230,Durazno,13.5137,2.1098,100.4,4,1,10.36,NE,2021-04-03 15:27:10
231,Durazno,53.0833,85.6667,23.86,94,86,5.88,RU,2021-04-03 15:29:16
232,Durazno,3.1655,-52.3158,83.44,73,73,4.25,GF,2021-04-03 15:29:16
233,Durazno,31.5917,54.4318,77.0,25,75,21.85,IR,2021-04-03 15:27:10
234,Durazno,22.1667,83.35,84.54,14,7,0.83,IN,2021-04-03 15:29:17
235,Durazno,13.9833,-14.8,104.68,10,5,4.83,SN,2021-04-03 15:25:16
236,Durazno,57.2829,55.4567,34.92,92,80,9.37,RU,2021-04-03 15:29:18
237,Durazno,41.1702,75.8106,28.99,39,17,1.88,KG,2021-04-03 15:29:18
238,Durazno,5.6167,-54.4,81.36,85,78,4.72,SR,2021-04-03 15:29:19
239,Durazno,39.9635,-4.8308,69.01,47,6,6.73,ES,2021-04-03 15:29:19
240,Durazno,66.7697,123.3711,-10.71,99,100,3.56,RU,2021-04-03 15:29:19
241,Durazno,51.1537,37.8879,44.15,58,95,9.42,RU,2021-04-03 15:29:20
242,Durazno,40.2015,-77.1889,45.0,24,4,1.99,US,2021-04-03 15:29:18
243,Durazno,-15.8631,-38.8828,86.0,70,20,9.22,BR,2021-04-03 15:29:21
244,Durazno,-35.3333,-72.4167,67.53,50,0,6.8,CL,2021-04-03 15:29:21
245,Durazno,7.9178,98.3332,84.2,79,20,8.05,TH,2021-04-03 15:26:13
246,Durazno,52.7939,89.8983,30.88,84,100,5.86,RU,2021-04-03 15:29:22
247,Durazno,43.3236,145.575,40.5,89,100,25.03,JP,2021-04-03 15:27:16
248,Durazno,-26.5833,18.1333,91.4,16,20,4.61,NA,2021-04-03 15:29:22
249,Durazno,39.1834,-84.5333,48.99,39,1,8.05,US,2021-04-03 15:29:23
250,Durazno,63.8567,57.3094,29.16,91,100,4.29,RU,2021-04-03 15:29:23
251,Durazno,6.8561,7.3927,98.6,32,20,4.61,NG,2021-04-03 15:29:24
252,Durazno,-27.4831,-50.1219,71.53,56,19,4.63,BR,2021-04-03 15:29:24
253,Durazno,-23.7,133.8833,64.4,63,0,9.28,AU,2021-04-03 15:29:25
254,Durazno,37.4966,61.9714,80.6,26,75,18.41,TM,2021-04-03 15:26:15
255,Durazno,6.1241,81.1185,82.4,78,0,4.61,LK,2021-04-03 15:26:36
256,Durazno,63.2842,118.3319,-18.87,100,90,2.37,RU,2021-04-03 15:29:26
257,Durazno,9.0833,3.85,100.71,8,68,6.29,NG,2021-04-03 15:29:26
